t_state,t_county,ordinance,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
MN,Rock,0,125,208.72,79.68,82.124,5331.410400000001,120.788,-96.28592444,43.78672721600001
MN,Scott,0,1,1.5,80.0,77.0,4656.63,118.6,-93.482994,44.736092
MN,St. Louis,0,10,25.0,80.0,96.0,7238.229999999999,128.0,-92.59941180000001,47.573582099999996
MN,Stearns,1,40,78.6,79.25,108.45,9310.975999999999,133.47750000000002,-94.99178944999998,45.652546
MN,Steele,0,24,43.2,80.0,90.0,6361.73,125.0,-93.12550895833334,43.91552091666667
MN,Stevens,1,2,3.3,75.0,82.0,5281.02,115.95,-95.8774875,45.5871675
MN,Watonwan,0,10,20.0,79.0,88.0,6082.12,123.1,-94.8543488,43.869994399999996
MN,Winona,0,4,6.5,74.0,76.5,4894.995,112.3,-91.89624,44.05509275
MO,Adair,0,175,400.0,92.21176470588236,119.15294117647059,11155.385294117646,151.87764705882353,-92.45966503529412,40.29561003529412
MO,Atchison,0,342,800.0,89.71637426900585,109.61695906432749,9764.37649122807,144.56052631578947,-95.34440584210526,40.48782145614035
MO,Barton,0,69,149.4,121.65217391304348,118.26086956521739,10995.571739130433,180.7826086956522,-94.4820372173913,37.41728068115942
MO,Dade,0,69,149.4,121.38461538461537,116.92307692307692,10753.91153846154,179.84615384615384,-94.0091746923077,37.304160230769234
MO,DeKalb,0,196,349.40999999999997,86.46666666666667,98.55119047619047,7840.768816326531,135.81634693877552,-94.47711348115645,39.9156649997619
MO,Gentry,0,27,56.7,80.0,88.0,6082.12,124.1,-94.49275148148148,40.08592629629629
MO,Jasper,0,69,149.4,122.0,120.0,11309.73,182.0,-94.09078635483871,37.29001161290323
MO,Lawrence,0,69,149.4,121.36,116.8,10731.6788,179.76,-94.016593,37.2676102
MO,Nodaway,0,224,528.9,95.34821428571429,118.72321428571429,11185.098660714286,154.73035714285717,-94.90766833928572,40.36457350892857
MO,Schuyler,1,175,400.0,92.06666666666666,119.73333333333332,11261.14,152.03,-92.47822813333335,40.427180944444444
MT,Carbon,0,114,239.8,80.0,110.21621621621621,9541.698378378378,135.1117117117117,-108.69571597297298,45.15677866666667
MT,Cascade,0,6,9.0,80.0,77.0,4656.63,118.59999999999998,-111.43786999999999,47.50050933333333
MT,Fallon,0,12,18.0,80.0,77.0,4656.63,118.59999999999998,-104.17691840000002,46.2738692
MT,Glacier,0,195,292.5,80.0,77.0,4656.63,118.59999999999998,-112.21689963730769,48.70237077871794
MT,Judith Basin,0,54,119.9,85.35185185185185,105.78703703703704,9161.211111111112,138.31851851851852,-110.63506994444444,47.32152162962962
MT,Meagher,0,6,9.0,80.0,77.0,4656.63,118.59999999999998,-110.334039,46.41209216666667
MT,Stillwater,0,31,79.75,84.19354838709677,118.06451612903226,10963.141290322581,143.3258064516129,-109.49901725806453,45.87356006451613
MT,Sweet Grass,0,14,25.06,80.0,100.0,7853.9800000000005,130.1,-109.6524185,45.83571928571428
MT,Teton,0,19,39.9,80.0,104.78947368421052,8632.638947368421,132.42631578947368,-111.930193,47.71611621052631
MT,Toole,0,266,399.0,80.0,77.0,4656.63,118.6,-112.11607125352174,48.671272244036814
MT,Wheatland,0,111,164.72,77.42702702702702,76.497920997921,4705.712127512128,115.76846846846848,-109.73922436451838,46.52512156340956
NC,Pasquotank,1,104,208.0,93.0,114.0,10207.03,150.0,-76.38628802,36.33416388
NC,Perquimans,1,104,208.0,93.0,114.0,10207.03,150.0,-76.45027951851851,36.300879018518515
ND,Adams,0,43,107.5,82.98305084745763,104.61016949152543,8639.699322033897,135.33389830508474,-102.5827924745763,46.06687794915254
ND,Barnes,1,269,407.4,80.0,82.94981412639405,5436.363680297397,121.56765799256506,-97.91816034409851,47.10764955680762
ND,Bowman,1,13,19.5,80.0,77.0,4656.63,118.6,-103.76811215384616,46.24452346153846
ND,Burke,0,74,193.24,88.91891891891892,114.5945945945946,10326.587027027026,146.29459459459457,-102.85981713513515,48.80805681081081
ND,Burleigh,1,118,185.5,80.0,90.62249614791988,6454.06971494607,125.41124807395994,-100.68727941602465,47.12794986748844
ND,Cavalier,0,185,293.34000000000003,80.0,87.40487804878049,6024.772257745551,123.7722346736981,-98.28916473891452,48.6350072050868
ND,Dickey,0,211,391.5,80.0,105.12796208530806,8864.815639810427,132.5317535545024,-98.94023499526067,46.07365668246445
ND,Emmons,0,102,216.44,81.56626506024097,108.16867469879519,9221.313975903615,135.6301204819277,-100.00163419277108,46.38390554216868
ND,Griggs,0,80,120.0,80.0,77.0,4656.63,118.6,-97.97074303225807,47.28585038709678
ND,Hettinger,0,72,149.03,80.0,114.44444444444444,10304.425833333335,137.3222222222222,-102.78960855555556,46.60180347222222
ND,LaMoure,0,27,40.5,65.0,70.5,3903.6300000000006,100.30000000000001,-98.88626609756096,46.32118736585366
ND,Logan,1,102,216.44,84.21052631578948,108.4736842105263,9273.776315789473,138.43157894736842,-99.90133342105263,46.38576794736842
ND,McHenry,0,47,111.92999999999999,78.57446808510639,95.74468085106383,8358.071063829786,126.40851063829787,-100.91746224906133,47.95809160951189
ND,McIntosh,0,75,150.0,80.0,110.0,9503.32,135.0,-99.05134276811594,46.111934159420294
ND,Mercer,1,43,106.7,90.0,116.0,10568.319999999998,148.1,-101.8292477142857,46.99475871428571
ND,Morton,1,248,624.95,81.73387096774194,105.9502688172043,8858.434879032257,134.76666666666668,-101.6382576607687,46.92934420668522
ND,Oliver,1,244,639.85,83.27868852459017,106.41803278688525,8949.619590163935,136.5295081967213,-101.42698171091921,47.036481575490335
ND,Pembina,0,1,1.0,70.0,59.0,2733.97,99.4,-97.241592,48.996891
ND,Pierce,1,71,149.1,79.0,88.0,6082.12,123.10000000000001,-99.95124652112676,48.507041112676056
ND,Rolette,0,75,150.0,95.0,100.0,7853.98,145.1,-99.60268745333333,48.96476508
ND,Stark,1,139,253.73,80.0,101.72661870503597,8129.266330935252,130.84820143884892,-102.51492679280575,46.719143240287764
ND,Steele,0,113,169.5,80.0,78.60619469026548,4857.839469026549,119.38849557522124,-97.92956119830232,47.31424745891277
ND,Stutsman,1,100,200.0,80.0,100.0,7853.98,130.099,-98.60413545,47.19031688
ND,Ward,0,154,231.0,80.0,77.98809523809524,4780.409588744589,119.08506493506492,-101.2858378917749,47.93985654978355
ND,Williams,1,146,448.8,90.85368274766726,119.98064324002384,11731.257368473298,150.93413738336312,-103.04939195225332,48.51828033680762
NE,Adams,1,1,1.7,80.0,103.0,8332.29,131.4,-98.334496,40.569241
NE,Antelope,1,260,512.4,83.11538461538461,104.98461538461538,8699.601307692306,135.7076923076923,-98.03148570091574,42.02353706391942
NE,Boone,0,240,395.6,80.0,94.09375,7007.4085,127.12999999999998,-98.07031902280703,41.891701779639
NE,Brown,1,36,59.4,70.0,82.0,5281.02,110.9,-99.91407561111112,42.46111747222222
NE,Custer,0,93,155.0,80.0,90.59139784946237,6505.399354838709,125.36774193548388,-99.55919850537636,41.49113077419355
NE,Dixon,0,101,318.15,87.5,125.0,12271.85,150.0,-96.82280773267325,42.3790725940594
NE,Fillmore,1,3,6.9,90.0,116.0,10568.32,148.1,-97.62688933333334,40.63289133333333
NE,Franklin,0,100,250.0,80.0,116.0,10568.32,138.1,-98.74163353846151,40.24830815384616
NE,Gage,1,44,74.8,80.0,100.0,7853.98,130.1,-96.90756225,40.040447666666665
