t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
CO,Logan,57290,2009,81,175.8,80.0,104.74691358024691,8654.543456790123,132.47283950617282,-102.87197766666667,40.97929675308642,0
CO,Logan,58769,2014,35,60.0,85.0,100.0,7853.98,135.0,-103.01463994285714,40.98860697142857,0
CO,Logan,65059,2021,72,200.8,89.02777777777777,125.93055555555556,12463.584583333335,152.09305555555554,-102.97177218055555,40.61796352777778,0
CO,Prowers,508,2004,3,4.5,80.0,70.5,3903.63,115.2,-102.5335275,38.032696,0
CO,Prowers,56173,2003,108,162.0,80.0,89.37623762376238,6297.919603960396,124.77623762376237,-102.63540331683168,37.700561415841584,0
CO,Prowers,61040,2017,36,75.0,80.0,114.0,10207.03,136.9,-102.52360855555555,37.77495013888889,0
CO,Pueblo,57643,2010,1,1.8,80.0,100.0,7853.98,130.1,-104.621391,38.163395,0
CO,Weld,56371,2007,274,300.5,71.12773722627738,64.41751824817518,3288.9222992700734,103.35583941605839,-104.02227181021898,40.884233459854016,0
CO,Weld,57210,2011,123,250.8,80.0,83.28688524590164,5481.227540983607,121.69508196721311,-103.7889235409836,40.92634954918033,0
CO,Weld,62840,2020,62,171.72,89.0,125.93548387096774,12464.525161290323,151.86774193548388,-104.01883325806452,40.96966388709678,0
CO,Weld,64872,2022,66,145.0,92.04545454545455,119.84848484848484,11282.360151515151,151.96969696969697,-103.9031848030303,40.96686715151515,0
CT,Litchfield,60700,2015,2,5.0,91.7,103.0,8332.29,143.3,-73.1454545,41.963590499999995,0
DE,Sussex,57176,2010,1,2.0,78.0,90.0,6361.73,123.1,-75.164902,38.78289,1
IA,Adair,1190,2005,1,0.66,65.0,47.0,1734.94,88.4,-94.327393,41.493992,1
IA,Adair,56810,2008,76,174.8,80.0,93.0,6792.91,126.5,-94.65884384375,41.455303453125,1
IA,Adair,57501,2011,193,443.9,80.0,101.0,8011.849999999999,130.5,-94.68298105263159,41.26089836842105,1
IA,Adair,57631,2010,1,1.5,80.0,77.0,4656.63,118.6,-94.444794,41.393093,1
IA,Adair,57632,2010,1,1.5,80.0,77.0,4656.63,118.6,-94.440491,41.225693,1
IA,Adair,57875,2012,44,101.2,80.0,108.0,9160.88,134.1,-94.5777678409091,41.441872090909094,1
IA,Adair,58456,2012,1,1.6,80.0,82.5,5345.62,121.3,-94.434891,41.227093,1
IA,Adair,58457,2012,1,1.6,80.0,82.5,5345.62,121.3,-94.570694,41.339592,1
